id,book_id,genre_id,created_at
1,1,11,2023-05-24 08:47:30.145125+00
2,1,10,2023-05-24 08:47:30.145125+00
3,1,25,2023-05-24 08:47:30.145125+00
4,2,10,2023-05-24 08:47:30.145125+00
5,2,11,2023-05-24 08:47:30.145125+00
6,3,5,2023-05-24 08:47:30.145125+00
7,3,11,2023-05-24 08:47:30.145125+00
8,3,25,2023-05-24 08:47:30.145125+00
9,4,5,2023-05-24 08:47:30.145125+00
10,4,11,2023-05-24 08:47:30.145125+00
11,5,11,2023-05-24 08:47:30.145125+00
12,5,5,2023-05-24 08:47:30.145125+00
13,6,10,2023-05-24 08:47:30.145125+00
14,6,25,2023-05-24 08:47:30.145125+00
15,6,11,2023-05-24 08:47:30.145125+00
16,6,20,2023-05-24 08:47:30.145125+00
17,7,5,2023-05-24 08:47:30.145125+00
18,7,11,2023-05-24 08:47:30.145125+00
19,7,10,2023-05-24 08:47:30.145125+00
20,8,10,2023-05-24 08:47:30.145125+00
21,8,11,2023-05-24 08:47:30.145125+00
22,8,5,2023-05-24 08:47:30.145125+00
23,9,10,2023-05-24 08:47:30.145125+00
24,9,5,2023-05-24 08:47:30.145125+00
25,10,25,2023-05-24 08:47:30.145125+00
26,10,11,2023-05-24 08:47:30.145125+00
27,10,7,2023-05-24 08:47:30.145125+00
28,11,5,2023-05-24 08:47:30.145125+00
29,11,11,2023-05-24 08:47:30.145125+00
30,11,25,2023-05-24 08:47:30.145125+00
31,12,11,2023-05-24 08:47:30.145125+00
32,12,5,2023-05-24 08:47:30.145125+00
33,12,22,2023-05-24 08:47:30.145125+00
34,12,10,2023-05-24 08:47:30.145125+00
35,13,5,2023-05-24 08:47:30.145125+00
36,13,11,2023-05-24 08:47:30.145125+00
37,13,13,2023-05-24 08:47:30.145125+00
38,13,10,2023-05-24 08:47:30.145125+00
39,14,5,2023-05-24 08:47:30.145125+00
40,14,11,2023-05-24 08:47:30.145125+00
41,14,25,2023-05-24 08:47:30.145125+00
42,15,10,2023-05-24 08:47:30.145125+00
43,15,11,2023-05-24 08:47:30.145125+00
44,15,5,2023-05-24 08:47:30.145125+00
45,16,5,2023-05-24 08:47:30.145125+00
46,16,11,2023-05-24 08:47:30.145125+00
47,16,25,2023-05-24 08:47:30.145125+00
48,17,11,2023-05-24 08:47:30.145125+00
49,17,7,2023-05-24 08:47:30.145125+00
50,17,5,2023-05-24 08:47:30.145125+00
51,18,11,2023-05-24 08:47:30.145125+00
52,18,18,2023-05-24 08:47:30.145125+00
53,18,29,2023-05-24 08:47:30.145125+00
54,19,5,2023-05-24 08:47:30.145125+00
55,19,11,2023-05-24 08:47:30.145125+00
56,19,25,2023-05-24 08:47:30.145125+00
57,20,5,2023-05-24 08:47:30.145125+00
58,20,10,2023-05-24 08:47:30.145125+00
59,20,11,2023-05-24 08:47:30.145125+00
60,21,5,2023-05-24 08:47:30.145125+00
61,21,11,2023-05-24 08:47:30.145125+00
62,21,10,2023-05-24 08:47:30.145125+00
63,21,21,2023-05-24 08:47:30.145125+00
64,22,11,2023-05-24 08:47:30.145125+00
65,22,25,2023-05-24 08:47:30.145125+00
66,22,5,2023-05-24 08:47:30.145125+00
67,23,10,2023-05-24 08:47:30.145125+00
68,23,11,2023-05-24 08:47:30.145125+00
69,24,10,2023-05-24 08:47:30.145125+00
70,24,11,2023-05-24 08:47:30.145125+00
71,24,25,2023-05-24 08:47:30.145125+00
72,25,5,2023-05-24 08:47:30.145125+00
73,25,11,2023-05-24 08:47:30.145125+00
74,26,5,2023-05-24 08:47:30.145125+00
75,26,11,2023-05-24 08:47:30.145125+00
76,26,21,2023-05-24 08:47:30.145125+00
77,27,5,2023-05-24 08:47:30.145125+00
78,27,11,2023-05-24 08:47:30.145125+00
79,28,5,2023-05-24 08:47:30.145125+00
80,28,11,2023-05-24 08:47:30.145125+00
81,28,25,2023-05-24 08:47:30.145125+00
82,29,5,2023-05-24 08:47:30.145125+00
83,29,11,2023-05-24 08:47:30.145125+00
84,30,10,2023-05-24 08:47:30.145125+00
