id,author_id,quote,tags,created_at
1,13,Be yourself; everyone else is already taken.,"attributed-no-source, be-yourself, gilbert-perreira, honesty, inspirational, misattributed-oscar-wilde, quote-investigator,",2023-05-24 08:31:34.073945+00
2,217,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,"attributed-no-source, human-nature, humor, infinity, philosophy, science, stupidity, universe,",2023-05-24 08:31:34.073945+00
3,218,"So many books, so little time.","books, humor,",2023-05-24 08:31:34.073945+00
4,219,A room without books is like a body without a soul.,"attributed-no-source, books, simile, soul,",2023-05-24 08:31:34.073945+00
5,220,"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.","ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter,",2023-05-24 08:31:34.073945+00
7,52,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,"attributed-no-source, dreams, love, reality, sleep,",2023-05-24 08:31:34.073945+00
8,222,"You only live once, but if you do it right, once is enough.","humor, life,",2023-05-24 08:31:34.073945+00
9,223,Be the change that you wish to see in the world.,"action, change, inspirational, misattributed-to-gandhi, philosophy, wish,",2023-05-24 08:31:34.073945+00
10,224,In three words I can sum up everything I've learned about life: it goes on.,"life,",2023-05-24 08:31:34.073945+00
11,2,"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.","from-charles-bayard-mitchell,",2023-05-24 08:31:34.073945+00
12,48,"If you tell the truth, you don't have to remember anything.","lies, lying, memory, truth,",2023-05-24 08:31:34.073945+00
13,225,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",,2023-05-24 08:31:34.073945+00
14,226,A friend is someone who knows all about you and still loves you.,"friend, friendship, knowledge, love,",2023-05-24 08:31:34.073945+00
15,13,"To live is the rarest thing in the world. Most people exist, that is all.","life,",2023-05-24 08:31:34.073945+00
16,13,Always forgive your enemies; nothing annoys them so much.,"attributed-no-source, enemies, forgiveness, strategy,",2023-05-24 08:31:34.073945+00
17,227,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"darkness, drive-out, hate, inspirational, light, love, peace,",2023-05-24 08:31:34.073945+00
