id,quote_id,tag_id,created_at
1,1,3,2023-05-24 08:36:47.033604+00
2,2,4,2023-05-24 08:36:47.033604+00
3,2,5,2023-05-24 08:36:47.033604+00
4,2,25,2023-05-24 08:36:47.033604+00
5,3,4,2023-05-24 08:36:47.033604+00
6,4,17,2023-05-24 08:36:47.033604+00
7,4,7,2023-05-24 08:36:47.033604+00
8,5,17,2023-05-24 08:36:47.033604+00
9,5,7,2023-05-24 08:36:47.033604+00
10,6,3,2023-05-24 08:36:47.033604+00
11,6,2,2023-05-24 08:36:47.033604+00
12,6,1,2023-05-24 08:36:47.033604+00
13,7,1,2023-05-24 08:36:47.033604+00
14,8,4,2023-05-24 08:36:47.033604+00
15,8,2,2023-05-24 08:36:47.033604+00
16,9,3,2023-05-24 08:36:47.033604+00
17,9,5,2023-05-24 08:36:47.033604+00
18,10,2,2023-05-24 08:36:47.033604+00
19,11,9,2023-05-24 08:36:47.033604+00
20,12,8,2023-05-24 08:36:47.033604+00
21,13,2,2023-05-24 08:36:47.033604+00
22,13,7,2023-05-24 08:36:47.033604+00
23,13,9,2023-05-24 08:36:47.033604+00
24,14,16,2023-05-24 08:36:47.033604+00
25,14,1,2023-05-24 08:36:47.033604+00
26,15,2,2023-05-24 08:36:47.033604+00
27,16,2,2023-05-24 08:36:47.033604+00
28,17,3,2023-05-24 08:36:47.033604+00
29,17,1,2023-05-24 08:36:47.033604+00
30,18,3,2023-05-24 08:36:47.033604+00
31,19,3,2023-05-24 08:36:47.033604+00
32,19,5,2023-05-24 08:36:47.033604+00
33,20,3,2023-05-24 08:36:47.033604+00
34,21,3,2023-05-24 08:36:47.033604+00
35,21,7,2023-05-24 08:36:47.033604+00
36,22,2,2023-05-24 08:36:47.033604+00
37,22,1,2023-05-24 08:36:47.033604+00
38,23,17,2023-05-24 08:36:47.033604+00
39,24,1,2023-05-24 08:36:47.033604+00
40,25,11,2023-05-24 08:36:47.033604+00
41,26,4,2023-05-24 08:36:47.033604+00
42,27,3,2023-05-24 08:36:47.033604+00
43,28,3,2023-05-24 08:36:47.033604+00
44,28,2,2023-05-24 08:36:47.033604+00
45,29,2,2023-05-24 08:36:47.033604+00
46,30,2,2023-05-24 08:36:47.033604+00
47,31,1,2023-05-24 08:36:47.033604+00
48,32,3,2023-05-24 08:36:47.033604+00
49,33,3,2023-05-24 08:36:47.033604+00
50,34,9,2023-05-24 08:36:47.033604+00
51,35,9,2023-05-24 08:36:47.033604+00
52,36,9,2023-05-24 08:36:47.033604+00
53,37,2,2023-05-24 08:36:47.033604+00
54,38,14,2023-05-24 08:36:47.033604+00
55,38,3,2023-05-24 08:36:47.033604+00
56,39,3,2023-05-24 08:36:47.033604+00
57,40,1,2023-05-24 08:36:47.033604+00
58,41,3,2023-05-24 08:36:47.033604+00
59,41,1,2023-05-24 08:36:47.033604+00
60,41,5,2023-05-24 08:36:47.033604+00
61,42,10,2023-05-24 08:36:47.033604+00
62,42,7,2023-05-24 08:36:47.033604+00
63,43,16,2023-05-24 08:36:47.033604+00
