id,name,link,created_at,slug
1,Love,https://www.goodreads.com/quotes/tag/love,2023-05-24 07:56:22.452151+00,love
2,Life,https://www.goodreads.com/quotes/tag/life,2023-05-24 07:56:22.452151+00,life
3,Inspirational,https://www.goodreads.com/quotes/tag/inspirational,2023-05-24 07:56:22.452151+00,inspirational
4,Humor,https://www.goodreads.com/quotes/tag/humor,2023-05-24 07:56:22.452151+00,humor
5,Philosophy,https://www.goodreads.com/quotes/tag/philosophy,2023-05-24 07:56:22.452151+00,philosophy
6,God,https://www.goodreads.com/quotes/tag/god,2023-05-24 07:56:22.452151+00,god
7,Motivation,https://www.goodreads.com/quotes/tag/motivation,2023-05-24 07:56:22.452151+00,motivation
8,Truth,https://www.goodreads.com/quotes/tag/truth,2023-05-24 07:56:22.452151+00,truth
9,Wisdom,https://www.goodreads.com/quotes/tag/wisdom,2023-05-24 07:56:22.452151+00,wisdom
10,Romance,https://www.goodreads.com/quotes/tag/romance,2023-05-24 07:56:22.452151+00,romance
11,Poetry,https://www.goodreads.com/quotes/tag/poetry,2023-05-24 07:56:22.452151+00,poetry
12,Death,https://www.goodreads.com/quotes/tag/death,2023-05-24 07:56:22.452151+00,death
13,Happiness,https://www.goodreads.com/quotes/tag/happiness,2023-05-24 07:56:22.452151+00,happiness
14,Hope,https://www.goodreads.com/quotes/tag/hope,2023-05-24 07:56:22.452151+00,hope
15,Faith,https://www.goodreads.com/quotes/tag/faith,2023-05-24 07:56:22.452151+00,faith
16,Knowledge,https://www.goodreads.com/quotes/tag/knowledge,2023-05-24 07:56:22.452151+00,knowledge
17,Inspiration,https://www.goodreads.com/quotes/tag/inspiration,2023-05-24 07:56:22.452151+00,inspiration
18,Writing,https://www.goodreads.com/quotes/tag/writing,2023-05-24 07:56:22.452151+00,writing
19,Motivational,https://www.goodreads.com/quotes/tag/motivational,2023-05-24 07:56:22.452151+00,motivational
20,Religion,https://www.goodreads.com/quotes/tag/religion,2023-05-24 07:56:22.452151+00,religion
21,Spirituality,https://www.goodreads.com/quotes/tag/spirituality,2023-05-24 07:56:22.452151+00,spirituality
22,Relationships,https://www.goodreads.com/quotes/tag/relationships,2023-05-24 07:56:22.452151+00,relationships
23,Success,https://www.goodreads.com/quotes/tag/success,2023-05-24 07:56:22.452151+00,success
24,Time,https://www.goodreads.com/quotes/tag/time,2023-05-24 07:56:22.452151+00,time
25,Science,https://www.goodreads.com/quotes/tag/science,2023-05-24 07:56:22.452151+00,science
